iter	Passed	Remaining
1019	3783	33310
1020	3787	33304
1021	3790	33295
1022	3795	33306
1023	3799	33303
1024	3804	33311
1025	3809	33320
1026	3812	33312
1027	3815	33303
1028	3818	33293
1029	3822	33287
1030	3828	33302
1031	3831	33293
1032	3834	33282
1033	3838	33282
1034	3841	33276
1035	3845	33269
1036	3848	33261
1037	3852	33264
1038	3856	33259
1039	3859	33254
1040	3862	33243
1041	3866	33236
1042	3870	33239
1043	3874	33233
1044	3876	33223
1045	3880	33216
1046	3884	33216
1047	3887	33207
1048	3890	33197
1049	3893	33186
1050	3897	33187
1051	3901	33181
1052	3904	33171
1053	3906	33160
1054	3910	33158
1055	3914	33155
1056	3917	33145
1057	3920	33135
1058	3923	33126
1059	3928	33130
1060	3931	33121
1061	3934	33110
1062	3936	33098
1063	3941	33100
1064	3944	33095
1065	3947	33085
1066	3950	33075
1067	3954	33073
1068	3958	33069
1069	3961	33060
1070	3964	33050
1071	3967	33040
1072	3971	33042
1073	3974	33034
1074	3977	33024
1075	3980	33014
1076	3985	33016
1077	3989	33016
1078	3992	33009
1079	3995	33000
1080	3999	33002
1081	4003	32996
1082	4006	32987
1083	4009	32980
1084	4014	32986
1085	4018	32981
1086	4021	32976
1087	4024	32968
1088	4029	32968
1089	4032	32963
1090	4035	32953
1091	4038	32942
1092	4042	32940
1093	4046	32939
1094	4049	32929
1095	4052	32919
1096	4055	32914
1097	4059	32916
1098	4063	32907
1099	4066	32898
1100	4068	32888
1101	4073	32889
1102	4076	32882
1103	4079	32873
1104	4082	32863
1105	4086	32864
1106	4089	32856
1107	4092	32846
1108	4095	32834
1109	4100	32839
1110	4103	32834
1111	4107	32826
1112	4110	32817
1113	4114	32819
1114	4118	32816
1115	4121	32809
1116	4124	32801
1117	4128	32802
1118	4132	32800
1119	4135	32791
1120	4138	32782
1121	4143	32784
1122	4148	32791
1123	4151	32785
1124	4154	32777
1125	4159	32778
1126	4162	32771
1127	4165	32764
1128	4169	32760
1129	4173	32757
1130	4176	32751
1131	4180	32746
1132	4183	32741
1133	4187	32739
1134	4190	32732
1135	4194	32727
1136	4197	32719
1137	4201	32716
1138	4204	32710
1139	4207	32703
1140	4211	32696
1141	4214	32693
1142	4218	32686
1143	4221	32681
1144	4224	32674
1145	4228	32669
1146	4231	32663
1147	4235	32658
1148	4238	32651
1149	4241	32643
1150	4245	32640
1151	4249	32639
1152	4252	32631
1153	4255	32623
1154	4260	32626
1155	4263	32617
1156	4266	32609
1157	4269	32601
1158	4273	32599
1159	4277	32597
1160	4280	32590
1161	4283	32581
1162	4287	32578
1163	4292	32581
1164	4297	32591
1165	4300	32583
1166	4305	32591
1167	4309	32585
1168	4312	32578
1169	4315	32570
1170	4320	32575
1171	4351	32774
1172	4354	32771
1173	4357	32762
1174	4360	32752
1175	4364	32747
1176	4368	32744
1177	4371	32734
1178	4373	32725
1179	4376	32714
1180	4380	32712
1181	4384	32708
1182	4387	32700
1183	4390	32690
1184	4394	32693
1185	4398	32688
1186	4401	32679
1187	4404	32671
1188	4408	32671
1189	4412	32666
1190	4415	32658
1191	4418	32649
1192	4421	32639
1193	4425	32639
1194	4428	32633
1195	4431	32624
1196	4434	32615
1197	4439	32615
1198	4442	32610
1199	4445	32601
1200	4448	32592
1201	4452	32587
1202	4456	32584
1203	4458	32575
1204	4461	32565
1205	4464	32556
1206	4469	32561
1207	4473	32556
1208	4476	32547
1209	4479	32538
1210	4483	32538
1211	4487	32540
1212	4491	32534
1213	4494	32526
1214	4498	32528
1215	4502	32524
1216	4505	32519
1217	4509	32514
1218	4514	32516
1219	4517	32512
1220	4520	32505
1221	4524	32497
1222	4528	32500
1223	4532	32494
1224	4535	32487
1225	4538	32479
1226	4542	32481
1227	4546	32478
1228	4549	32470
1229	4552	32462
1230	4557	32467
1231	4561	32463
1232	4564	32457
1233	4567	32449
1234	4572	32454
1235	4576	32452
1236	4580	32445
1237	4583	32436
1238	4588	32443
1239	4592	32444
1240	4596	32443
1241	4601	32447
1242	4605	32444
1243	4608	32440
1244	4612	32435
1245	4618	32448
1246	4621	32442
1247	4625	32436
1248	4629	32437
1249	4633	32437
1250	4637	32432
1251	4640	32425
1252	4645	32431
1253	4650	32434
1254	4653	32427
1255	4656	32418
1256	4661	32420
1257	4664	32414
1258	4667	32408
1259	4671	32405
1260	4675	32402
1261	4679	32400
1262	4682	32395
1263	4686	32387
1264	4690	32386
1265	4693	32381
1266	4696	32372
1267	4699	32363
1268	4704	32367
1269	4707	32361
1270	4710	32352
1271	4713	32343
1272	4717	32342
1273	4721	32337
1274	4724	32331
1275	4727	32322
1276	4732	32325
1277	4735	32321
1278	4739	32313
1279	4742	32305
1280	4745	32300
1281	4748	32294
1282	4752	32286
1283	4755	32278
1284	4758	32269
1285	4761	32265
1286	4764	32257
1287	4767	32250
1288	4770	32241
1289	4773	32233
1290	4777	32226
1291	4780	32219
1292	4783	32210
1293	4786	32201
1294	4789	32194
1295	4792	32187
1296	4795	32179
1297	4798	32169
1298	4801	32160
1299	4804	32155
1300	4808	32148
1301	4811	32144
1302	4814	32135
1303	4817	32126
1304	4820	32119
1305	4823	32111
1306	4826	32102
1307	4829	32096
1308	4833	32092
1309	4836	32084
1310	4839	32077
1311	4843	32072
1312	4846	32066
1313	4849	32058
1314	4852	32050
1315	4856	32044
1316	4859	32038
1317	4863	32036
1318	4866	32028
1319	4869	32020
1320	4872	32011
1321	4875	32004
1322	4878	31996
1323	4881	31988
1324	4884	31978
1325	4887	31969
1326	4890	31962
1327	4893	31956
1328	4896	31948
1329	4899	31939
1330	4902	31930
1331	4906	31927
1332	4909	31921
1333	4912	31913
1334	4915	31904
1335	4918	31898
1336	4921	31890
1337	4924	31883
1338	4927	31874
1339	4930	31866
1340	4934	31860
1341	4937	31854
1342	4941	31853
1343	4944	31846
1344	4948	31840
1345	4951	31834
1346	4954	31827
1347	4957	31819
1348	4960	31812
1349	4964	31808
1350	4967	31804
1351	4970	31796
1352	4974	31789
1353	4977	31785
1354	4983	31796
1355	4987	31794
1356	4991	31791
1357	4995	31792
1358	5000	31793
1359	5004	31792
1360	5009	31800
1361	5014	31799
1362	5017	31796
1363	5022	31801
1364	5027	31801
1365	5030	31795
1366	5033	31788
1367	5039	31799
1368	5043	31797
1369	5046	31792
1370	5050	31787
1371	5055	31792
1372	5059	31787
1373	5062	31780
1374	5066	31778
1375	5070	31780
1376	5074	31777
1377	5077	31771
1378	5082	31775
1379	5086	31770
1380	5089	31763
1381	5092	31756
1382	5099	31776
1383	5103	31769
1384	5106	31761
1385	5110	31759
1386	5114	31761
1387	5118	31758
1388	5121	31752
1389	5126	31755
1390	5130	31751
1391	5133	31745
1392	5136	31736
1393	5140	31736
1394	5144	31735
1395	5147	31728
1396	5151	31721
1397	5155	31719
